Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
boucle-barrel-chair,Boucle Barrel Chair,"<p>A compact barrel chair with a rounded, tactile boucle shell.</p><p>W 82 × D 80 × H 75 cm</p>",OpenRoom,Chair,"Chair, Boucle, Ivory, Modern organic, Rounded",TRUE,Title,Default Title,boucle-barrel-chair,continue,manual,899.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/boucle-barrel-chair.webp,Boucle Barrel Chair,active
cognac-sling-chair,Cognac Sling Chair,<p>Cognac leather is suspended across an angular walnut frame.</p><p>W 72 × D 80 × H 78 cm</p>,OpenRoom,Chair,"Chair, Leather and walnut, Cognac, Mid century, Leather, Walnut",TRUE,Title,Default Title,cognac-sling-chair,continue,manual,949.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/cognac-sling-chair.webp,Cognac Sling Chair,active
oak-paper-cord-chair,Oak Paper Cord Chair,"<p>Hand-wound paper cord seats a slender, almost weightless oak frame.</p><p>W 62 × D 60 × H 74 cm</p>",OpenRoom,Chair,"Chair, Oak and paper cord, Natural cream, Japandi, Paper cord, Oak",TRUE,Title,Default Title,oak-paper-cord-chair,continue,manual,649.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oak-paper-cord-chair.webp,Oak Paper Cord Chair,active
shearling-swivel-chair,Shearling Swivel Chair,"<p>A softly padded shearling shell turns on a low, brushed steel base.</p><p>W 86 × D 84 × H 78 cm</p>",OpenRoom,Chair,"Chair, Shearling and steel, Bone, Modern organic, Shearling, Swivel",TRUE,Title,Default Title,shearling-swivel-chair,continue,manual,999.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/shearling-swivel-chair.webp,Shearling Swivel Chair,active
ceramic-olive-tree,Ceramic Olive Tree,<p>A graceful olive tree planted in an off-white ceramic vessel.</p><p>W 88 × D 82 × H 170 cm</p>,OpenRoom,Plant,"Plant, Live plant and ceramic, Silvery green, Japandi, Olive, Ceramic",TRUE,Title,Default Title,ceramic-olive-tree,continue,manual,189.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/ceramic-olive-tree.webp,Ceramic Olive Tree,active
stone-planter-ficus,Stone Planter Ficus,<p>A lush ficus rises from a tactile pale stone planter.</p><p>W 100 × D 90 × H 180 cm</p>,OpenRoom,Plant,"Plant, Live plant and stone, Leaf green, Modern organic, Ficus, Stone",TRUE,Title,Default Title,stone-planter-ficus,continue,manual,229.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/stone-planter-ficus.webp,Stone Planter Ficus,active
teak-planter-palm,Teak Planter Palm,<p>Arching palm fronds stand in a raised slatted teak planter.</p><p>W 110 × D 100 × H 185 cm</p>,OpenRoom,Plant,"Plant, Live plant and teak, Leaf green, Mid century, Palm, Teak",TRUE,Title,Default Title,teak-planter-palm,continue,manual,209.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/teak-planter-palm.webp,Teak Planter Palm,active
stoneware-snake-plant,Stoneware Snake Plant,<p>Upright sansevieria blades stand in a matte stoneware cylinder.</p><p>W 46 × D 46 × H 110 cm</p>,OpenRoom,Plant,"Plant, Live plant and stoneware, Deep green, Japandi, Sansevieria, Stoneware",TRUE,Title,Default Title,stoneware-snake-plant,continue,manual,129.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/stoneware-snake-plant.webp,Stoneware Snake Plant,active
rattan-basket-fern,Rattan Basket Fern,<p>A full nest fern spills over the rim of a hand-woven rattan basket.</p><p>W 70 × D 68 × H 95 cm</p>,OpenRoom,Plant,"Plant, Live plant and rattan, Leaf green, Modern organic, Fern, Rattan",TRUE,Title,Default Title,rattan-basket-fern,continue,manual,149.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/rattan-basket-fern.webp,Rattan Basket Fern,active
oak-drum-side-table,Oak Drum Side Table,"<p>A solid oak drum with a softened top edge, sized for a sofa arm.</p><p>W 45 × D 45 × H 55 cm</p>",OpenRoom,Side table,"Side table, Oak, Light oak, Japandi, Drum",TRUE,Title,Default Title,oak-drum-side-table,continue,manual,279.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oak-drum-side-table.webp,Oak Drum Side Table,active
travertine-cube-side-table,Travertine Cube Side Table,<p>A quarried travertine cube that serves as a table or an extra seat.</p><p>W 40 × D 40 × H 45 cm</p>,OpenRoom,Side table,"Side table, Travertine, Ivory, Modern organic, Stone, Cube",TRUE,Title,Default Title,travertine-cube-side-table,continue,manual,399.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/travertine-cube-side-table.webp,Travertine Cube Side Table,active
black-steel-tray-table,Black Steel Tray Table,"<p>A lift-off tray in a slim blackened frame, light enough to move often.</p><p>W 42 × D 42 × H 56 cm</p>",OpenRoom,Side table,"Side table, Steel, Black, Mid century, Blackened steel, Tray",TRUE,Title,Default Title,black-steel-tray-table,continue,manual,219.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/black-steel-tray-table.webp,Black Steel Tray Table,active
walnut-pedestal-side-table,Walnut Pedestal Side Table,<p>A turned walnut pedestal lifts a small round top to armrest height.</p><p>W 38 × D 38 × H 58 cm</p>,OpenRoom,Side table,"Side table, Walnut, Mid century, Pedestal",TRUE,Title,Default Title,walnut-pedestal-side-table,continue,manual,329.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/walnut-pedestal-side-table.webp,Walnut Pedestal Side Table,active
rattan-nesting-side-table,Rattan Nesting Side Table,<p>Two woven rattan tops nest together and pull apart when guests arrive.</p><p>W 50 × D 50 × H 52 cm</p>,OpenRoom,Side table,"Side table, Rattan and ash, Natural tan, Japandi, Rattan, Nesting",TRUE,Title,Default Title,rattan-nesting-side-table,continue,manual,249.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/rattan-nesting-side-table.webp,Rattan Nesting Side Table,active
oak-ladder-shelf,Oak Ladder Shelf,<p>Five graduated oak shelves on a slim frame that leans to the wall.</p><p>W 60 × D 36 × H 180 cm</p>,OpenRoom,Bookshelf,"Bookshelf, Oak, Light oak, Japandi, Leaning",TRUE,Title,Default Title,oak-ladder-shelf,continue,manual,449.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oak-ladder-shelf.webp,Oak Ladder Shelf,active
walnut-low-shelf,Walnut Low Shelf,"<p>A credenza-height walnut case for books, low enough to see across.</p><p>W 120 × D 38 × H 112 cm</p>",OpenRoom,Bookshelf,"Bookshelf, Walnut, Mid century, Credenza height",TRUE,Title,Default Title,walnut-low-shelf,continue,manual,899.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/walnut-low-shelf.webp,Walnut Low Shelf,active
white-oak-cube-storage,White Oak Cube Storage,"<p>Nine open cubes in pale oak, sized for records and baskets.</p><p>W 90 × D 36 × H 150 cm</p>",OpenRoom,Bookshelf,"Bookshelf, White oak, Pale oak, Modern organic, Modular",TRUE,Title,Default Title,white-oak-cube-storage,continue,manual,699.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/white-oak-cube-storage.webp,White Oak Cube Storage,active
steel-and-ash-etagere,Steel and Ash Etagere,<p>Blackened steel uprights hold four floating ash shelves.</p><p>W 84 × D 34 × H 190 cm</p>,OpenRoom,Bookshelf,"Bookshelf, Steel and ash, Black, Mid century, Blackened steel, Etagere",TRUE,Title,Default Title,steel-and-ash-etagere,continue,manual,799.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/steel-and-ash-etagere.webp,Steel and Ash Etagere,active
hinoki-open-bookcase,Hinoki Open Bookcase,<p>An open-backed hinoki case that reads light against a plain wall.</p><p>W 96 × D 32 × H 176 cm</p>,OpenRoom,Bookshelf,"Bookshelf, Hinoki, Natural cream, Japandi, Open back",TRUE,Title,Default Title,hinoki-open-bookcase,continue,manual,949.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/hinoki-open-bookcase.webp,Hinoki Open Bookcase,active
